location_id,location_name,dataforseo_location_code,language_code
loc_1,Dubai - United Arab Emirates,2781,en-AE
loc_2,New Jersey - United States,21167,en-US
loc_3,Austin - United States,2357,en-US
loc_4,New York - United States,2458,en-US
loc_5,Dallas - United States,2511,en-US
loc_6,Riyadh - Saudi Arabia,2782,ar-SA
loc_7,Abu Dhabi - United Arab Emirates,2780,en-AE
loc_8,London - United Kingdom,2826,en-GB
loc_9,Chicago - United States,2392,en-US
loc_10,Houston - United States,2500,en-US
loc_11,Washington - United States,2518,en-US
loc_12,Miami - United States,2423,en-US
loc_13,San Francisco - United States,2481,en-US
loc_14,California - United States,21133,en-US
loc_15,Doha Qatar,2903,ar-QA
loc_16,Toronto - Canada,2650,en-CA
loc_17,Denver - United States,2404,en-US
loc_18,Boston - United States,2322,en-US
loc_19,United States,2840,en-US
loc_20,Jeddah - Saudi Arabia,2783,ar-SA
loc_21,Canada,2124,en-CA
loc_22,Bahrain,2914,ar-BH
loc_23,Saudi Arabia,2780,ar-SA
